背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
2,マルティネス,0.091,6.0,12.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.167,0.091,0.258,-0.65,-0.32,f,マルティネス,120000
2,マルティネス,0.091,6.0,12.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.167,0.091,0.258,-0.65,-0.32,f,マルティネス,1000
2,マルティネス,0.091,6.0,12.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.167,0.091,0.258,-0.65,-0.32,f,マルティネス,25000
39,有薗　直輝,0.0,3.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.1,0.0,0.1,-1.91,-1.53,f,有薗　直輝,630
33,進藤　勇也,0.0,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.3,-2.06,f,進藤　勇也,1100
49,若林　晃弘,0.143,5.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.143,0.143,0.286,-0.42,-0.23,f,若林　晃弘,1800
9,中島　卓也,,,,,,,,,,,,,,,,,,,f,中島　卓也,2500
10,清水　優心,,,,,,,,,,,,,,,,,,,f,清水　優心,2400
27,古川　裕大,,,,,,,,,,,,,,,,,,,f,古川　裕大,1100
36,宮崎　一樹,,,,,,,,,,,,,,,,,,,f,宮崎　一樹,930
44,阪口　樂,,,,,,,,,,,,,,,,,,,f,阪口　樂,550
65,明瀬　諒介,,,,,,,,,,,,,,,,,,,f,明瀬　諒介,530
68,星野　ひので,,,,,,,,,,,,,,,,,,,f,星野　ひので,530
98,梅林　優貴,,,,,,,,,,,,,,,,,,,f,梅林　優貴,800
7,藤岡　裕大,0.25,40.0,169.0,144.0,36.0,2.0,8.0,0.0,19.0,0.0,32.0,4.0,3.0,0.333,0.368,0.701,4.28,4.31,m,藤岡　裕大,8500
99,ソト,0.187,38.0,153.0,139.0,26.0,6.0,15.0,0.0,12.0,1.0,36.0,0.0,2.0,0.255,0.353,0.607,2.85,3.1,m,ソト,30000
1,藤原　恭大,0.291,34.0,129.0,117.0,34.0,1.0,9.0,1.0,8.0,2.0,19.0,2.0,0.0,0.346,0.368,0.714,4.91,4.71,m,藤原　恭大,4700
22,ポランコ,0.188,32.0,129.0,117.0,22.0,4.0,12.0,0.0,11.0,0.0,30.0,0.0,1.0,0.256,0.316,0.572,2.61,2.86,m,ポランコ,40000
38,髙部　瑛斗,0.263,35.0,121.0,114.0,30.0,0.0,8.0,6.0,4.0,1.0,13.0,1.0,2.0,0.292,0.289,0.581,3.2,3.21,m,髙部　瑛斗,3300
25,岡　大海,0.216,25.0,88.0,74.0,16.0,1.0,7.0,3.0,10.0,2.0,22.0,2.0,1.0,0.326,0.27,0.596,3.48,3.54,m,岡　大海,7000
65,寺地　隆成,0.284,26.0,81.0,74.0,21.0,3.0,8.0,0.0,5.0,0.0,13.0,1.0,1.0,0.325,0.446,0.771,5.19,5.19,m,寺地　隆成,550
61,山本　大斗,0.194,23.0,79.0,72.0,14.0,2.0,8.0,0.0,6.0,1.0,21.0,0.0,4.0,0.266,0.333,0.599,2.21,2.3,m,山本　大斗,500
6,西川　史礁,0.147,23.0,78.0,75.0,11.0,0.0,3.0,0.0,1.0,1.0,20.0,0.0,1.0,0.167,0.187,0.353,0.12,0.38,m,西川　史礁,1600
32,佐藤　都志也,0.097,21.0,67.0,62.0,6.0,1.0,4.0,0.0,1.0,2.0,12.0,1.0,0.0,0.136,0.145,0.282,-0.35,0.11,m,佐藤　都志也,8000
8,中村　奨吾,0.186,20.0,64.0,59.0,11.0,1.0,3.0,0.0,4.0,1.0,9.0,0.0,0.0,0.25,0.271,0.521,2.22,2.36,m,中村　奨吾,20000
57,小川　龍成,0.143,27.0,59.0,49.0,7.0,0.0,3.0,2.0,6.0,1.0,10.0,3.0,4.0,0.25,0.163,0.413,0.33,0.5,m,小川　龍成,2500
0,池田　来翔,0.259,16.0,57.0,54.0,14.0,2.0,6.0,0.0,1.0,1.0,8.0,1.0,1.0,0.286,0.444,0.73,4.27,4.15,m,池田　来翔,1300
4,友杉　篤輝,0.26,26.0,55.0,50.0,13.0,0.0,3.0,1.0,1.0,0.0,6.0,4.0,1.0,0.275,0.38,0.655,3.05,2.91,m,友杉　篤輝,3000
3,角中　勝也,0.176,18.0,44.0,34.0,6.0,1.0,2.0,0.0,8.0,0.0,8.0,2.0,0.0,0.333,0.265,0.598,3.47,3.74,m,角中　勝也,6600
10,上田　希由翔,0.114,13.0,40.0,35.0,4.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,0.179,0.171,0.351,0.44,0.85,m,上田　希由翔,1650
5,安田　尚憲,0.318,9.0,29.0,22.0,7.0,0.0,2.0,0.0,6.0,1.0,4.0,0.0,0.0,0.483,0.364,0.846,8.77,8.5,m,安田　尚憲,4500
67,茶谷　健太,0.4,25.0,18.0,15.0,6.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.471,0.533,1.004,9.99,8.99,m,茶谷　健太,2000
23,石川　慎吾,0.059,7.0,18.0,17.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.111,0.059,0.17,-1.42,-1.11,m,石川　慎吾,2600
27,田村　龍弘,0.111,7.0,18.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.111,0.111,0.222,-1.95,-1.82,m,田村　龍弘,7000
51,山口　航輝,0.091,4.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.091,0.091,0.182,-1.46,-1.22,m,山口　航輝,3500
43,石垣　雅海,0.286,3.0,8.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.375,0.429,0.804,6.41,5.4,m,石垣　雅海,900
44,宮崎　竜成,0.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.84,-2.57,m,宮崎　竜成,1400
49,立松　由宇,0.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.81,-2.52,m,立松　由宇,1000
63,和田　康士朗,0.0,12.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.25,-1.33,1.35,m,和田　康士朗,2500
45,植田　将太,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m,植田　将太,500
0,荻野　貴司,,,,,,,,,,,,,,,,,,,m,荻野　貴司,7000
2,松川　虎生,,,,,,,,,,,,,,,,,,,m,松川　虎生,1700
39,大下　誠一郎,,,,,,,,,,,,,,,,,,,m,大下　誠一郎,800
50,愛斗,,,,,,,,,,,,,,,,,,,m,愛斗,2600
55,柿沼　友哉,,,,,,,,,,,,,,,,,,,m,柿沼　友哉,1200
68,金田　優太,,,,,,,,,,,,,,,,,,,m,金田　優太,500
